tarif_id;netzbetreiber;tarifname;gueltig_ab;gueltig_bis;verbrauch_max_kwh;energie_q1_rp_kwh;energie_q2_rp_kwh;energie_q3_rp_kwh;energie_q4_rp_kwh;netznutzung_rp_kwh;weitere_abgaben_rp_kwh;grundtarif_chf_monat;messtarif_chf_monat;mwst_prozent;preise_inkl_mwst;annahme;quelle
EKZ_2026_BASIS;EKZ;Energie Erneuerbar + Netz 400F;2026-01-01;2026-12-31;99999;14.38;9.73;9.73;14.38;8.11;3.44;3.24;5.41;8.1;true;Jahresverbrauch gleichmässig auf vier Quartale verteilt;https://www.ekz.ch/de/angebote/strom/tarife/stromtarife-privatkunden.html
IWB_2026_SMALL_ET;IWB;IWB Strom small, Einfachtarif;2026-01-01;2026-12-31;12999;12.00;12.00;12.00;12.00;15.05;10.86;0.00;4.86;8.1;true;"Vereinfachter Einfachtarif; Netznutzung inkl. SDL, Stromreserve und solidarisierte Kosten";https://www.iwb.ch/servicecenter/stromtarife/aktuelle-tarife
